atleta_id,apelido,posicao_id,preco,status_id,media_num,scout_CA,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_G,scout_I,scout_A,scout_FT,scout_PS,scout_DE,scout_GS,scout_PC,scout_SG,scout_GC,scout_PP,scout_CV,scout_V,scout_DP,pontos,jogo_id,rodada,casa
93716,Paulo Henrique,2,0.0,1,3.21,3.0,14.0,10.0,1.0,2.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,591,1,1
106294,Marcos Antônio,4,0.0,1,2.84,1.0,11.0,11.0,2.0,2.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,592,1,1
140542,Ryan Francisco,5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593,1,1
141611,Maik,2,0.0,1,3.48,0.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.48,594,1,1
141609,Lucca,5,0.0,1,0.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,595,1,1
86686,Tchê Tchê,4,0.0,1,1.91,2.0,6.0,8.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,596,1,1
86410,Victor Luis,2,0.0,1,0.57,2.0,4.0,7.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,597,1,1
81091,Jair,4,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,1,1
99213,Puma Rodríguez,2,0.0,1,5.09,3.0,5.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,599,1,1
95936,Daniel Fuzato,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,1,1
97095,Carlos Cuesta,3,0.0,1,1.54,1.0,4.0,8.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.54,601,1,1
71123,Thiago Mendes,4,0.0,1,4.02,5.0,9.0,12.0,1.0,4.0,28.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,602,1,1
117330,Robert Renan,3,0.0,1,2.14,0.0,14.0,13.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,603,1,1
105584,Lucas Piton,2,0.0,1,1.03,0.0,5.0,8.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,604,1,1
90309,David,5,0.0,1,2.86,0.0,3.0,6.0,4.0,5.0,5.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,605,1,1
111682,Adson,4,0.0,1,2.14,0.0,4.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,606,1,1
116706,Andrés Gómez,5,0.0,1,7.66,3.0,24.0,19.0,12.0,16.0,21.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,607,1,1
90588,Caíque,4,0.0,1,2.38,1.0,14.0,14.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,608,1,1
118752,Mateus Carvalho,4,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609,1,1
115141,Lucas Freitas,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610,1,1
80287,Luciano,5,0.0,1,5.0,2.0,7.0,16.0,5.0,9.0,19.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,611,1,1
90703,Matheuzinho,4,0.0,1,3.21,2.0,5.0,5.0,7.0,4.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,612,1,1
115100,Matheus França,4,0.0,1,0.57,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,613,1,1
99440,Baralhas,4,0.0,1,6.23,4.0,19.0,19.0,0.0,6.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,614,1,1
142279,Nuno Moreira,4,0.0,1,2.6,1.0,8.0,7.0,2.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,615,1,1
101594,Hugo Moura,4,0.0,1,1.97,0.0,5.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,616,1,1
122485,Barros,4,0.0,1,5.5,3.0,21.0,20.0,0.0,5.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.5,617,1,1
97645,Thiago Couto,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618,1,1
83786,Neris,3,0.0,1,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,619,1,1
42222,Osvaldo,5,0.0,1,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,620,1,1
101752,Claudinho,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,1,1
101597,Ramon,2,0.0,1,5.49,1.0,15.0,20.0,2.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.49,622,1,1
82455,Zé Rafael,4,0.0,1,4.28,1.0,4.0,5.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,623,1,1
96793,Camutanga,3,0.0,1,3.95,0.0,8.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.95,624,1,1
104118,Lucas Arcanjo,1,0.0,1,6.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,6.08,625,1,1
90031,Mendoza,5,0.0,1,4.75,0.0,8.0,8.0,3.0,6.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,626,1,1
92696,Renato Kayzer,5,0.0,1,3.08,1.0,3.0,9.0,2.0,3.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,627,1,1
93411,Cantalapiedra,4,0.0,1,1.09,1.0,3.0,4.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,628,1,1
92273,Odair Hellmann,6,0.0,1,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.25,629,1,1
116461,Jamerson,2,0.0,1,4.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.1,630,1,1
